source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bloomberg', 'name': 'Bloomberg'}",,Apple Unveils iPhone 14 and Satellite Capabilities (Podcast),"Bloomberg Technology is the only daily news program focused exclusively on technology, innovation and the future of business.",https://www.bloomberg.com/news/audio/2022-09-07/apple-unveils-iphone-14-and-satellite-capabilities-podcast,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/io5bvVzmaNMc/v0/955x500.png,2022-09-07T22:34:44Z,"Bloomberg Technology Podcast Browse all episodesBloomberg's Emily Chang breaks down Apple's latest unveilings from its Far Out event, from next-generation AirPods Pro, a new line if smartwatches and … [+75 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Bloomberg News,"Apple Updates AirPods Pro With Better Audio, Easier-to-Find Case - BNN Bloomberg","<ol><li>Apple Updates AirPods Pro With Better Audio, Easier-to-Find Case  BNN Bloomberg
</li><li>Apple's new AirPods Pro can cancel twice as much noise  The Verge
</li><li>AirPods Pro 2 will arrive as Apple's most uncool earbuds – just ask Instagram  TechRa…",https://www.bloomberg.com/news/articles/2022-09-07/apple-updates-airpods-pro-with-better-audio-easier-to-find-case,http://www.bnnbloomberg.ca/img/tsn/logos/tsn-logo.png,2022-09-07T18:10:47Z,"(Bloomberg) -- Apple Inc. announced the first update to its AirPods Pro earbuds since the high-end product first went on sale in October 2019, adding improved audio quality and a redesigned carrying … [+1029 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",,"The Strong Dollar, Apple, And Oil (Podcast)",Understand every aspect of the global economy – and know how to make your next move.,https://www.bloomberg.com/news/audio/2022-09-07/the-strong-dollar-apple-and-oil-podcast,,2022-09-07T16:02:29Z,"Vince Cignarella, Global Macro Strategist with Bloomberg News, joins the show for his weekly hit to talk about markets, the Fed, and currency and FX. Mark Smith, Senior VP-Investments at Wells Fargo … [+599 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Subrat Patnaik,"Apple Phone Event, 'Worst Kept Secret,' Is Priced In: Tech Watch - Bloomberg",Investors hoping that the introduction of a new line of iPhones will help Apple Inc. shares rebound to their January record may be in for a disappointment if history is any guide.,https://www.bloomberg.com/news/articles/2022-09-07/apple-phone-event-worst-kept-secret-is-priced-in-tech-watch,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iymsye4ppB9A/v0/1200x800.jpg,2022-09-07T10:01:51Z,"Investors hoping that the introduction of a new line of iPhones will help 
Apple Inc. shares rebound to their January record may be in for a disappointment if history is any guide.
The stock has fa… [+372 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,Apple to Appeal Brazil's Move to Ban iPhones Without Chargers - Bloomberg,Apple to Appeal Brazil's Move to Ban iPhones Without Chargers  Bloomberg,https://www.bloomberg.com/news/articles/2022-09-06/apple-will-appeal-brazil-s-move-to-ban-phones-without-chargers,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iP2wH8Cv7_8w/v0/1200x786.jpg,2022-09-06T20:19:13Z,"Apple Inc. plans to appeal a move by Brazil to ban the sale of iPhones without battery chargers, arguing that the company has helped reduce environmental waste by not including the accessory with new… [+1021 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",,"Bloomberg Daybreak Weekend: Apple, UK PM Race, Biden Tour(Radio)","Hear breaking economic, business and market news, as well as global, national, and local news and sports.",https://www.bloomberg.com/news/audio/2022-09-02/bloomberg-daybreak-weekend-apple-uk-pm-race-biden-tour-radio,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i07a_DSOCrmg/v0/955x500.png,2022-09-02T18:50:29Z,"Bloomberg Daybreak Podcast Browse all episodesBloomberg Daybreak Weekend with John Tucker takes a look at some of the stories we'll be tracking for you in the coming week, including Apple' upcoming p… [+237 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",,Apple IPhone 14 Impact? Yawn; Amazon Lords Over (Podcast),"Bloomberg Intelligence
Alix Steel and Paul Sweeney harness the power of Bloomberg Intelligence to provide company and industry research.",https://www.bloomberg.com/news/audio/2022-09-02/apple-iphone-14-impact-yawn-amazon-lords-over-podcast,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iGmsjz2jkxz8/v0/955x500.png,2022-09-02T18:25:22Z,"Bloomberg Intelligence Podcast Browse all episodesIn this weeks Bloomberg podcast, Bloomberg Intelligence analysts discuss the findings and impact of their research:
Apple's iPhone 14 Wont Move the … [+1560 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",David Welch,Self-Driving Tech Company Floats Possible Sale to Apple or Microsoft - Bloomberg,"Aurora Innovation Inc.’s chief executive officer recently laid out a range of options for the self-driving company to respond to worsening market conditions and partners pushing out timelines, including a possible sale to Apple Inc. or Microsoft Corp., accord…",https://www.bloomberg.com/news/articles/2022-09-02/self-driving-ceo-floats-possible-sale-to-apple-or-microsoft,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/imsSEC4Lzfa0/v0/1200x777.jpg,2022-09-02T16:49:51Z,"Aurora Innovation Inc.s chief executive officer recently laid out a range of options for the self-driving company to respond to worsening market conditions and partners pushing out timelines, includi… [+495 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Josh Eidelson,Apple (AAPL) Employees in Oklahoma City Petition to Unionize Store,"Apple Inc. workers in Oklahoma City petitioned Thursday to unionize their store, extending a wave of organizing within the company and the broader retail industry.",https://www.bloomberg.com/news/articles/2022-09-01/apple-employees-in-oklahoma-city-petition-to-unionize-store,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i7ZJSlSC6ERI/v0/1200x800.jpg,2022-09-01T22:14:15Z,"Apple Inc. workers in Oklahoma City petitioned Thursday to unionize their store, extending a wave of organizing within the company and the broader retail industry.
Employees filed a petition with th… [+218 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Emily Birnbaum,"US Commerce Chief’s Agenda Reveals Amazon, Apple CEO Meetings","US Commerce Secretary Gina Raimondo met with chief executive officers including Amazon.com Inc.’s Andy Jassy and Apple Inc.’s Tim Cook early in her tenure, according to a copy of her April 2021 calendar obtained by Bloomberg News Wednesday.",https://www.bloomberg.com/news/articles/2022-08-31/us-commerce-chief-s-agenda-reveals-amazon-apple-ceo-meetings,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iapnmkNjnjCs/v1/1200x800.jpg,2022-08-31T18:50:02Z,"US Commerce Secretary Gina Raimondo met with chief executive officers including Amazon.com Inc.s Andy Jassy and Apple Inc.s Tim Cook early in her tenure, according to a copy of her April 2021 calenda… [+3127 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Lisa Du,Apple Quietly Gives Up Its Didi Board Seat After Turmoil,"An Apple Inc. executive has left the board of Didi Global Inc., as the Chinese ride-hailing company struggles to regain ground it lost during Beijing’s crackdown on the country’s internet sector.",https://www.bloomberg.com/news/articles/2022-08-31/apple-quietly-gives-up-its-didi-board-seat-after-turmoil,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/icCy5UCrNswU/v0/1200x800.jpg,2022-08-31T05:05:02Z,"An 
Apple Inc. executive has left the board of 
Didi Global Inc., as the Chinese ride-hailing company struggles to regain ground it lost during Beijings crackdown on the countrys internet sector.
… [+237 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,Apple Chief Privacy Officer Jane Horvath to Leave for Law Firm,"Apple Inc.’s top privacy executive will be leaving the company soon to work at a law firm, according to people with knowledge of the matter, stepping down from a high-profile role at the iPhone maker.",https://www.bloomberg.com/news/articles/2022-08-30/apple-s-chief-privacy-officer-set-to-leave-company-for-law-firm,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/icDD8KyfqRbA/v0/1200x800.jpg,2022-08-31T00:14:16Z,"Apple Inc.s top privacy executive will be leaving the company soon to work at a law firm, according to people with knowledge of the matter, stepping down from a high-profile role at the iPhone maker.… [+2066 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Ben Westcott,"Australia Grills Apple, Meta on Plans to Tackle Child Abuse","Australia has demanded that US technology giants including Apple Inc., Meta Platforms Inc. and Microsoft Corp. provide details on how they’re cracking down on child abuse material.",https://www.bloomberg.com/news/articles/2022-08-30/australia-grills-apple-meta-on-plans-to-tackle-child-abuse,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iOztQlH3BWQw/v0/1200x778.jpg,2022-08-30T06:52:39Z,"Australia has demanded that US technology giants including 
Apple Inc., 
Meta Platforms Inc. and 
Microsoft Corp. provide details on how theyre cracking down on child abuse material.
The governme… [+1806 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,"Apple Confirms Sept. 7 Launch Date for iPhone 14, New Watches",,https://www.bloomberg.com/news/articles/2022-08-24/apple-confirms-sept-7-as-launch-date-for-iphone-14-new-watches,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iqsP3I2AxU7c/v0/1200x748.png,2022-08-24T16:14:26Z,"Apple Inc. announced plans to hold a launch event on Sept. 7, when the tech giant is expected to unveil its iPhone 14 lineup and new smartwatches, confirming a date that was reported by Bloomberg New… [+231 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,Apple Is Just Three Weeks Away From Showing Off the iPhone 14,"Apple is gearing up to release the new iPhone earlier than usual, giving its current quarter an extra sales boost. Also: The company lays off recruiters and orders staff back to the office; Netflix will ban offline viewing from its ad-supported service; and P…",https://www.bloomberg.com/news/newsletters/2022-08-21/when-will-apple-announce-the-iphone-14-when-will-the-iphone-14-go-on-sale-l73dt7i1,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iUY_iAGS1Mlg/v1/1200x800.jpg,2022-08-21T13:45:17Z,"Apple is gearing up to release the new iPhone earlier than usual, giving its current quarter an extra sales boost. Also: The company lays off recruiters and orders staff back to the office; Netflix w… [+208 chars]"
